question_id,type,year,course,unit_before,unit_after,topic_before,topic_after,lesson_before,lesson_after,source_checked,source_page,transcription_status,stem_status,choice_status,answer_status,solution_status,math_status,katex_status,media_status,course_mapping_status,unit_mapping_status,topic_mapping_status,lesson_mapping_status,calculator_status,mapping_status,overall_status,student_ready,corrections_count,review_required,notes
APCALC-AB-FRQ-1969-01,frq,1969,AP Calculus AB,1,1,1.10 / 3.3 / Prerequisite,1.10 / 3.3 / Prerequisite,,,Canonical provenance only; source scan not supplied in this run,3,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1969-02,frq,1969,AP Calculus AB,4,4,4.2,4.2,APCALC-4.1; APCALC-4.2,APCALC-4.1; APCALC-4.2,Canonical provenance only; source scan not supplied in this run,3,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,verified,high,high,high,high,metadata_unverified,high,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1969-03,frq,1969,AP Calculus AB,5,5,5.2 / 5.6 / 6.7,5.2 / 5.6 / 6.7,APCALC-5.2; APCALC-5.6; APCALC-6.7,APCALC-5.2; APCALC-5.6; APCALC-6.7,Canonical provenance only; source scan not supplied in this run,3; 4,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1969-04,frq,1969,AP Calculus AB,5,5,5.2 / 5.4,5.2 / 5.4,APCALC-5.2; APCALC-5.4; APCALC-5.6,APCALC-5.2; APCALC-5.4; APCALC-5.6,Canonical provenance only; source scan not supplied in this run,4,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,verified,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1969-05,frq,1969,AP Calculus AB,8,8,8.4 / 8.8,8.4 / 8.8,APCALC-8.4; APCALC-8.8; APCALC-8.9,APCALC-8.4; APCALC-8.8; APCALC-8.9,Canonical provenance only; source scan not supplied in this run,4,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1969-06,frq,1969,AP Calculus AB,6,6,6.6 / Modeling,6.6 / Modeling,APCALC-6.6; APCALC-6.7,APCALC-6.6; APCALC-6.7,Canonical provenance only; source scan not supplied in this run,4; 5,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1969-07,frq,1969,AP Calculus AB,2,2,2.3 / 1.15,2.3 / 1.15,APCALC-2.3; APCALC-2.4; APCALC-1.15,APCALC-2.3; APCALC-2.4; APCALC-1.15,Canonical provenance only; source scan not supplied in this run,5,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1970-01,frq,1970,AP Calculus AB,8,8,2.9 / 8.4,2.9 / 8.4,APCALC-2.9; APCALC-8.4,APCALC-2.9; APCALC-8.4,Canonical provenance only; source scan not supplied in this run,5,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1970-02,frq,1970,AP Calculus AB,,,Prerequisite / 1.12,Prerequisite / 1.12,,,Canonical provenance only; source scan not supplied in this run,5; 6,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,unmapped,unmapped,unmapped,unmapped,metadata_unverified,unmapped,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1970-03,frq,1970,AP Calculus AB,5,5,2.4 / 5.2 / 5.6,2.4 / 5.2 / 5.6,APCALC-2.4; APCALC-5.2; APCALC-5.6,APCALC-2.4; APCALC-5.2; APCALC-5.6,Canonical provenance only; source scan not supplied in this run,6,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
