unit,code,title,slug,video,notes,worksheet,answer_key,notes_tex,worksheet_tex,answer_key_tex,question_count
1,1.1,Change in Tandem,change-in-tandem,https://precalculus.flippedmath.com/11-change-in-tandem.html,notes/ap-precalculus/unit-1/notes-1-1-change-in-tandem.pdf,worksheets/ap-precalculus/unit-1/worksheet-1-1-change-in-tandem.pdf,teacher-answer-keys/ap-precalculus/unit-1/answer-key-1-1-change-in-tandem.pdf,editable-latex/ap-precalculus/student/notes/unit-1/notes-1-1-change-in-tandem.tex,editable-latex/ap-precalculus/student/worksheets/unit-1/worksheet-1-1-change-in-tandem.tex,editable-latex/ap-precalculus/teacher/unit-1/answer-key-1-1-change-in-tandem.tex,32
1,1.2,Rates of Change,rates-of-change,https://precalculus.flippedmath.com/12-rates-of-change.html,notes/ap-precalculus/unit-1/notes-1-2-rates-of-change.pdf,worksheets/ap-precalculus/unit-1/worksheet-1-2-rates-of-change.pdf,teacher-answer-keys/ap-precalculus/unit-1/answer-key-1-2-rates-of-change.pdf,editable-latex/ap-precalculus/student/notes/unit-1/notes-1-2-rates-of-change.tex,editable-latex/ap-precalculus/student/worksheets/unit-1/worksheet-1-2-rates-of-change.tex,editable-latex/ap-precalculus/teacher/unit-1/answer-key-1-2-rates-of-change.tex,32
1,1.3,Rates of Change in Linear and Quadratic Functions,rates-of-change-in-linear-and-quadratic-functions,https://precalculus.flippedmath.com/13-rates-of-change-in-linear-and-quadratic-functions.html,notes/ap-precalculus/unit-1/notes-1-3-rates-of-change-in-linear-and-quadratic-functions.pdf,worksheets/ap-precalculus/unit-1/worksheet-1-3-rates-of-change-in-linear-and-quadratic-functions.pdf,teacher-answer-keys/ap-precalculus/unit-1/answer-key-1-3-rates-of-change-in-linear-and-quadratic-functions.pdf,editable-latex/ap-precalculus/student/notes/unit-1/notes-1-3-rates-of-change-in-linear-and-quadratic-functions.tex,editable-latex/ap-precalculus/student/worksheets/unit-1/worksheet-1-3-rates-of-change-in-linear-and-quadratic-functions.tex,editable-latex/ap-precalculus/teacher/unit-1/answer-key-1-3-rates-of-change-in-linear-and-quadratic-functions.tex,32
1,1.4,Polynomial Functions and Rates of Change,polynomial-functions-and-rates-of-change,https://precalculus.flippedmath.com/14-polynomial-functions-and-rates-of-change.html,notes/ap-precalculus/unit-1/notes-1-4-polynomial-functions-and-rates-of-change.pdf,worksheets/ap-precalculus/unit-1/worksheet-1-4-polynomial-functions-and-rates-of-change.pdf,teacher-answer-keys/ap-precalculus/unit-1/answer-key-1-4-polynomial-functions-and-rates-of-change.pdf,editable-latex/ap-precalculus/student/notes/unit-1/notes-1-4-polynomial-functions-and-rates-of-change.tex,editable-latex/ap-precalculus/student/worksheets/unit-1/worksheet-1-4-polynomial-functions-and-rates-of-change.tex,editable-latex/ap-precalculus/teacher/unit-1/answer-key-1-4-polynomial-functions-and-rates-of-change.tex,32
1,1.5,Polynomial Functions and Complex Zeros,polynomial-functions-and-complex-zeros,https://precalculus.flippedmath.com/15a-polynomial-functions-and-complex-zeros.html,notes/ap-precalculus/unit-1/notes-1-5-polynomial-functions-and-complex-zeros.pdf,worksheets/ap-precalculus/unit-1/worksheet-1-5-polynomial-functions-and-complex-zeros.pdf,teacher-answer-keys/ap-precalculus/unit-1/answer-key-1-5-polynomial-functions-and-complex-zeros.pdf,editable-latex/ap-precalculus/student/notes/unit-1/notes-1-5-polynomial-functions-and-complex-zeros.tex,editable-latex/ap-precalculus/student/worksheets/unit-1/worksheet-1-5-polynomial-functions-and-complex-zeros.tex,editable-latex/ap-precalculus/teacher/unit-1/answer-key-1-5-polynomial-functions-and-complex-zeros.tex,32
1,1.6,Polynomial Functions and End Behavior,polynomial-functions-and-end-behavior,https://precalculus.flippedmath.com/16-polynomial-functions-and-end-behavior.html,notes/ap-precalculus/unit-1/notes-1-6-polynomial-functions-and-end-behavior.pdf,worksheets/ap-precalculus/unit-1/worksheet-1-6-polynomial-functions-and-end-behavior.pdf,teacher-answer-keys/ap-precalculus/unit-1/answer-key-1-6-polynomial-functions-and-end-behavior.pdf,editable-latex/ap-precalculus/student/notes/unit-1/notes-1-6-polynomial-functions-and-end-behavior.tex,editable-latex/ap-precalculus/student/worksheets/unit-1/worksheet-1-6-polynomial-functions-and-end-behavior.tex,editable-latex/ap-precalculus/teacher/unit-1/answer-key-1-6-polynomial-functions-and-end-behavior.tex,32
1,1.7,Rational Functions and End Behavior,rational-functions-and-end-behavior,https://precalculus.flippedmath.com/17a-rational-functions-and-end-behavior.html,notes/ap-precalculus/unit-1/notes-1-7-rational-functions-and-end-behavior.pdf,worksheets/ap-precalculus/unit-1/worksheet-1-7-rational-functions-and-end-behavior.pdf,teacher-answer-keys/ap-precalculus/unit-1/answer-key-1-7-rational-functions-and-end-behavior.pdf,editable-latex/ap-precalculus/student/notes/unit-1/notes-1-7-rational-functions-and-end-behavior.tex,editable-latex/ap-precalculus/student/worksheets/unit-1/worksheet-1-7-rational-functions-and-end-behavior.tex,editable-latex/ap-precalculus/teacher/unit-1/answer-key-1-7-rational-functions-and-end-behavior.tex,32
1,1.8,Rational Functions and Zeros,rational-functions-and-zeros,https://precalculus.flippedmath.com/18-rational-functions-and-zeros.html,notes/ap-precalculus/unit-1/notes-1-8-rational-functions-and-zeros.pdf,worksheets/ap-precalculus/unit-1/worksheet-1-8-rational-functions-and-zeros.pdf,teacher-answer-keys/ap-precalculus/unit-1/answer-key-1-8-rational-functions-and-zeros.pdf,editable-latex/ap-precalculus/student/notes/unit-1/notes-1-8-rational-functions-and-zeros.tex,editable-latex/ap-precalculus/student/worksheets/unit-1/worksheet-1-8-rational-functions-and-zeros.tex,editable-latex/ap-precalculus/teacher/unit-1/answer-key-1-8-rational-functions-and-zeros.tex,32
1,1.9,Rational Functions and Vertical Asymptotes,rational-functions-and-vertical-asymptotes,https://precalculus.flippedmath.com/19-rational-functions-and-vertical-asymptotes.html,notes/ap-precalculus/unit-1/notes-1-9-rational-functions-and-vertical-asymptotes.pdf,worksheets/ap-precalculus/unit-1/worksheet-1-9-rational-functions-and-vertical-asymptotes.pdf,teacher-answer-keys/ap-precalculus/unit-1/answer-key-1-9-rational-functions-and-vertical-asymptotes.pdf,editable-latex/ap-precalculus/student/notes/unit-1/notes-1-9-rational-functions-and-vertical-asymptotes.tex,editable-latex/ap-precalculus/student/worksheets/unit-1/worksheet-1-9-rational-functions-and-vertical-asymptotes.tex,editable-latex/ap-precalculus/teacher/unit-1/answer-key-1-9-rational-functions-and-vertical-asymptotes.tex,32
1,1.10,Rational Functions and Holes,rational-functions-and-holes,https://precalculus.flippedmath.com/110-rational-functions-and-holes.html,notes/ap-precalculus/unit-1/notes-1-10-rational-functions-and-holes.pdf,worksheets/ap-precalculus/unit-1/worksheet-1-10-rational-functions-and-holes.pdf,teacher-answer-keys/ap-precalculus/unit-1/answer-key-1-10-rational-functions-and-holes.pdf,editable-latex/ap-precalculus/student/notes/unit-1/notes-1-10-rational-functions-and-holes.tex,editable-latex/ap-precalculus/student/worksheets/unit-1/worksheet-1-10-rational-functions-and-holes.tex,editable-latex/ap-precalculus/teacher/unit-1/answer-key-1-10-rational-functions-and-holes.tex,32
