topic,official_title,student_display_name,student_filename,website_path,public_url,teacher_display_name,teacher_filename,student_tex,teacher_tex
1.1,Introducing Calculus: Can Change Occur at an Instant?,Worksheet 1.1 - Introducing Calculus: Can Change Occur at an Instant?,worksheet-1-1-introducing-calculus-can-change-occur-at-an-instant.pdf,worksheets/ap-calculus/unit-1/worksheet-1-1-introducing-calculus-can-change-occur-at-an-instant.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-1-introducing-calculus-can-change-occur-at-an-instant.pdf,Answer Key 1.1 - Introducing Calculus: Can Change Occur at an Instant?,answer-key-1-1-introducing-calculus-can-change-occur-at-an-instant.pdf,worksheet-1-1-introducing-calculus-can-change-occur-at-an-instant.tex,answer-key-1-1-introducing-calculus-can-change-occur-at-an-instant.tex
1.2,Defining Limits and Using Limit Notation,Worksheet 1.2 - Defining Limits and Using Limit Notation,worksheet-1-2-defining-limits-and-using-limit-notation.pdf,worksheets/ap-calculus/unit-1/worksheet-1-2-defining-limits-and-using-limit-notation.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-2-defining-limits-and-using-limit-notation.pdf,Answer Key 1.2 - Defining Limits and Using Limit Notation,answer-key-1-2-defining-limits-and-using-limit-notation.pdf,worksheet-1-2-defining-limits-and-using-limit-notation.tex,answer-key-1-2-defining-limits-and-using-limit-notation.tex
1.3,Estimating Limit Values from Graphs,Worksheet 1.3 - Estimating Limit Values from Graphs,worksheet-1-3-estimating-limit-values-from-graphs.pdf,worksheets/ap-calculus/unit-1/worksheet-1-3-estimating-limit-values-from-graphs.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-3-estimating-limit-values-from-graphs.pdf,Answer Key 1.3 - Estimating Limit Values from Graphs,answer-key-1-3-estimating-limit-values-from-graphs.pdf,worksheet-1-3-estimating-limit-values-from-graphs.tex,answer-key-1-3-estimating-limit-values-from-graphs.tex
1.4,Estimating Limit Values from Tables,Worksheet 1.4 - Estimating Limit Values from Tables,worksheet-1-4-estimating-limit-values-from-tables.pdf,worksheets/ap-calculus/unit-1/worksheet-1-4-estimating-limit-values-from-tables.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-4-estimating-limit-values-from-tables.pdf,Answer Key 1.4 - Estimating Limit Values from Tables,answer-key-1-4-estimating-limit-values-from-tables.pdf,worksheet-1-4-estimating-limit-values-from-tables.tex,answer-key-1-4-estimating-limit-values-from-tables.tex
1.5,Determining Limits Using Algebraic Properties of Limits,Worksheet 1.5 - Determining Limits Using Algebraic Properties of Limits,worksheet-1-5-determining-limits-using-algebraic-properties-of-limits.pdf,worksheets/ap-calculus/unit-1/worksheet-1-5-determining-limits-using-algebraic-properties-of-limits.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-5-determining-limits-using-algebraic-properties-of-limits.pdf,Answer Key 1.5 - Determining Limits Using Algebraic Properties of Limits,answer-key-1-5-determining-limits-using-algebraic-properties-of-limits.pdf,worksheet-1-5-determining-limits-using-algebraic-properties-of-limits.tex,answer-key-1-5-determining-limits-using-algebraic-properties-of-limits.tex
1.6,Determining Limits Using Algebraic Manipulation,Worksheet 1.6 - Determining Limits Using Algebraic Manipulation,worksheet-1-6-determining-limits-using-algebraic-manipulation.pdf,worksheets/ap-calculus/unit-1/worksheet-1-6-determining-limits-using-algebraic-manipulation.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-6-determining-limits-using-algebraic-manipulation.pdf,Answer Key 1.6 - Determining Limits Using Algebraic Manipulation,answer-key-1-6-determining-limits-using-algebraic-manipulation.pdf,worksheet-1-6-determining-limits-using-algebraic-manipulation.tex,answer-key-1-6-determining-limits-using-algebraic-manipulation.tex
1.7,Selecting Procedures for Determining Limits,Worksheet 1.7 - Selecting Procedures for Determining Limits,worksheet-1-7-selecting-procedures-for-determining-limits.pdf,worksheets/ap-calculus/unit-1/worksheet-1-7-selecting-procedures-for-determining-limits.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-7-selecting-procedures-for-determining-limits.pdf,Answer Key 1.7 - Selecting Procedures for Determining Limits,answer-key-1-7-selecting-procedures-for-determining-limits.pdf,worksheet-1-7-selecting-procedures-for-determining-limits.tex,answer-key-1-7-selecting-procedures-for-determining-limits.tex
1.8,Determining Limits Using the Squeeze Theorem,Worksheet 1.8 - Determining Limits Using the Squeeze Theorem,worksheet-1-8-determining-limits-using-the-squeeze-theorem.pdf,worksheets/ap-calculus/unit-1/worksheet-1-8-determining-limits-using-the-squeeze-theorem.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-8-determining-limits-using-the-squeeze-theorem.pdf,Answer Key 1.8 - Determining Limits Using the Squeeze Theorem,answer-key-1-8-determining-limits-using-the-squeeze-theorem.pdf,worksheet-1-8-determining-limits-using-the-squeeze-theorem.tex,answer-key-1-8-determining-limits-using-the-squeeze-theorem.tex
1.9,Connecting Multiple Representations of Limits,Worksheet 1.9 - Connecting Multiple Representations of Limits,worksheet-1-9-connecting-multiple-representations-of-limits.pdf,worksheets/ap-calculus/unit-1/worksheet-1-9-connecting-multiple-representations-of-limits.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-9-connecting-multiple-representations-of-limits.pdf,Answer Key 1.9 - Connecting Multiple Representations of Limits,answer-key-1-9-connecting-multiple-representations-of-limits.pdf,worksheet-1-9-connecting-multiple-representations-of-limits.tex,answer-key-1-9-connecting-multiple-representations-of-limits.tex
1.10,Exploring Types of Discontinuities,Worksheet 1.10 - Exploring Types of Discontinuities,worksheet-1-10-exploring-types-of-discontinuities.pdf,worksheets/ap-calculus/unit-1/worksheet-1-10-exploring-types-of-discontinuities.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-10-exploring-types-of-discontinuities.pdf,Answer Key 1.10 - Exploring Types of Discontinuities,answer-key-1-10-exploring-types-of-discontinuities.pdf,worksheet-1-10-exploring-types-of-discontinuities.tex,answer-key-1-10-exploring-types-of-discontinuities.tex
1.11,Defining Continuity at a Point,Worksheet 1.11 - Defining Continuity at a Point,worksheet-1-11-defining-continuity-at-a-point.pdf,worksheets/ap-calculus/unit-1/worksheet-1-11-defining-continuity-at-a-point.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-11-defining-continuity-at-a-point.pdf,Answer Key 1.11 - Defining Continuity at a Point,answer-key-1-11-defining-continuity-at-a-point.pdf,worksheet-1-11-defining-continuity-at-a-point.tex,answer-key-1-11-defining-continuity-at-a-point.tex
1.12,Confirming Continuity over an Interval,Worksheet 1.12 - Confirming Continuity over an Interval,worksheet-1-12-confirming-continuity-over-an-interval.pdf,worksheets/ap-calculus/unit-1/worksheet-1-12-confirming-continuity-over-an-interval.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-12-confirming-continuity-over-an-interval.pdf,Answer Key 1.12 - Confirming Continuity over an Interval,answer-key-1-12-confirming-continuity-over-an-interval.pdf,worksheet-1-12-confirming-continuity-over-an-interval.tex,answer-key-1-12-confirming-continuity-over-an-interval.tex
1.13,Removing Discontinuities,Worksheet 1.13 - Removing Discontinuities,worksheet-1-13-removing-discontinuities.pdf,worksheets/ap-calculus/unit-1/worksheet-1-13-removing-discontinuities.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-13-removing-discontinuities.pdf,Answer Key 1.13 - Removing Discontinuities,answer-key-1-13-removing-discontinuities.pdf,worksheet-1-13-removing-discontinuities.tex,answer-key-1-13-removing-discontinuities.tex
1.14,Connecting Infinite Limits and Vertical Asymptotes,Worksheet 1.14 - Connecting Infinite Limits and Vertical Asymptotes,worksheet-1-14-connecting-infinite-limits-and-vertical-asymptotes.pdf,worksheets/ap-calculus/unit-1/worksheet-1-14-connecting-infinite-limits-and-vertical-asymptotes.pdf,https://2ed944-cloud.github.io/ECHS-Math/worksheets/ap-calculus/unit-1/worksheet-1-14-connecting-infinite-limits-and-vertical-asymptotes.pdf,Answer Key 1.14 - Connecting Infinite Limits and Vertical Asymptotes,answer-key-1-14-connecting-infinite-limits-and-vertical-asymptotes.pdf,worksheet-1-14-connecting-infinite-limits-and-vertical-asymptotes.tex,answer-key-1-14-connecting-infinite-limits-and-vertical-asymptotes.tex
